epoch;loss;mse;val_loss;val_mse
0;354.9290466308594;354.9290466308594;1273.835205078125;1273.835205078125
1;291.6092224121094;291.6092224121094;1173.0966796875;1173.0966796875
2;274.1795959472656;274.1795959472656;1113.412353515625;1113.412353515625
3;263.4969787597656;263.4969787597656;1069.3115234375;1069.3115234375
4;256.00958251953125;256.00958251953125;1032.044189453125;1032.044189453125
5;250.46917724609375;250.46917724609375;1000.689208984375;1000.689208984375
6;246.2740020751953;246.2740020751953;975.7823486328125;975.7823486328125
7;243.06781005859375;243.06781005859375;953.1846313476562;953.1846313476562
8;240.51412963867188;240.51412963867188;932.4700927734375;932.4700927734375
9;238.55812072753906;238.55812072753906;915.6525268554688;915.6525268554688
0;372.27789306640625;372.27789306640625;1303.162109375;1303.162109375
1;295.8577575683594;295.8577575683594;1183.6695556640625;1183.6695556640625
2;275.5135803222656;275.5135803222656;1116.6705322265625;1116.6705322265625
3;264.0734558105469;264.0734558105469;1070.0654296875;1070.0654296875
4;256.2481384277344;256.2481384277344;1032.02294921875;1032.02294921875
5;250.61611938476562;250.61611938476562;1001.372314453125;1001.372314453125
6;246.21774291992188;246.21774291992188;973.3089599609375;973.3089599609375
7;242.95339965820312;242.95339965820312;952.9852294921875;952.9852294921875
8;240.37661743164062;240.37661743164062;932.9300537109375;932.9300537109375
9;238.3887939453125;238.3887939453125;915.28466796875;915.28466796875
10;236.82781982421875;236.82781982421875;900.8010864257812;900.8010864257812
11;235.51290893554688;235.51290893554688;887.3682250976562;887.3682250976562
12;234.46530151367188;234.46530151367188;876.6243896484375;876.6243896484375
13;233.616455078125;233.616455078125;865.65087890625;865.65087890625
14;232.95803833007812;232.95803833007812;855.489501953125;855.489501953125
15;232.40966796875;232.40966796875;847.2689819335938;847.2689819335938
16;231.9598846435547;231.9598846435547;840.2020263671875;840.2020263671875
17;231.62001037597656;231.62001037597656;834.605224609375;834.605224609375
18;231.3212432861328;231.3212432861328;827.57373046875;827.57373046875
19;231.08010864257812;231.08010864257812;822.0647583007812;822.0647583007812
20;230.91152954101562;230.91152954101562;817.150146484375;817.150146484375
21;230.7675018310547;230.7675018310547;813.4359130859375;813.4359130859375
22;230.65023803710938;230.65023803710938;809.6596069335938;809.6596069335938
